run_id,label,density,avg_statements_per_step,avg_intentions_per_goal
aggregated_graph_std-006-new-00007,completed_True,0.010606060606060607,26.666666666666668,0.0
aggregated_graph_std-006-new-00008,completed_False,0.003214515980473427,42.0,2.0
aggregated_graph_std-007-bootstrap-00000,completed_False,0.009924937447873228,20.75,0.0
aggregated_graph_std-007-bootstrap-00001,completed_True,0.047692307692307694,5.5,0.5
aggregated_graph_std-007-bootstrap-00002,completed_False,0.014152514152514152,12.75,0.0
aggregated_graph_std-007-bootstrap-00003,completed_False,0.041501976284584984,0.0,1.5
aggregated_graph_std-007-bootstrap-00004,completed_False,0.03058321479374111,5.0,0.0
aggregated_graph_std-007-bootstrap-00005,completed_False,0.042328042328042326,5.5,0.0
aggregated_graph_std-007-bootstrap-00006,agent_invalid_action_False,0.027564102564102563,11.5,0.0
aggregated_graph_std-007-bootstrap-00007,completed_True,0.015503875968992248,0.0,0.0
aggregated_graph_std-007-bootstrap-00008,completed_False,0.0159846547314578,16.666666666666668,0.5
aggregated_graph_std-007-bootstrap-00009,agent_invalid_action_False,0.02026554856743536,13.0,0.0
aggregated_graph_std-007-bootstrap-00010,completed_False,0.031746031746031744,5.5,0.0
aggregated_graph_std-007-bootstrap-00011,completed_True,0.009968102073365232,4.875,3.3333333333333335
aggregated_graph_std-007-bootstrap-00012,completed_False,0.007656731757451182,20.4,0.0
aggregated_graph_std-007-bootstrap-00013,completed_False,0.034759358288770054,9.5,0.0
aggregated_graph_std-007-bootstrap-00014,agent_invalid_action_False,0.02768549280177187,6.666666666666667,1.3333333333333333
aggregated_graph_std-007-bootstrap-00015,completed_False,0.024841437632135307,9.5,0.5
aggregated_graph_std-007-bootstrap-00016,completed_False,0.015291750503018108,11.0,0.0
aggregated_graph_std-007-bootstrap-00017,completed_False,0.007985907222548444,37.0,0.0
aggregated_graph_std-007-bootstrap-00018,completed_False,0.014866712235133289,6.8,1.4
aggregated_graph_std-007-bootstrap-00019,completed_True,0.03058321479374111,10.5,0.0
aggregated_graph_std-007-bootstrap-00020,completed_True,0.04064039408866995,5.0,0.0
aggregated_graph_std-007-bootstrap-00021,completed_True,0.03277310924369748,5.5,0.0
